id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
385994,2019-2020,Telangana,36,Medak,513,Coriander,509.0,Spices,Rabi,3.0,Hectare,3.0,Tonnes,1.0,Tonnes/Hectare,Medak
385995,2019-2020,Telangana,36,Medak,513,Coriander,509.0,Spices,Total,5.0,Hectare,5.0,Tonnes,1.0,Tonnes/Hectare,Medak
284901,2014-2015,Telangana,36,Medak,513,Bajra,103.0,Cereals,Rabi,9.0,Hectare,8.0,Tonnes,0.889,Tonnes/Hectare,Medak
284691,2014-2015,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Kharif,34731.0,Hectare,28618.0,Tonnes,0.824,Tonnes/Hectare,Adilabad
284692,2014-2015,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Rabi,543.0,Hectare,447.0,Tonnes,0.823,Tonnes/Hectare,Adilabad
284693,2014-2015,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Total,35274.0,Hectare,29065.0,Tonnes,0.824,Tonnes/Hectare,Adilabad
284694,2014-2015,Telangana,36,Adilabad,501,Bajra,103.0,Cereals,Rabi,1582.0,Hectare,1482.0,Tonnes,0.937,Tonnes/Hectare,Adilabad
284695,2014-2015,Telangana,36,Adilabad,501,Banana,606.0,Fruits,Kharif,11.0,Hectare,464.0,Tonnes,42.182,Tonnes/Hectare,Adilabad
284696,2014-2015,Telangana,36,Adilabad,501,Cashewnut,619.0,Fruits,Kharif,12.0,Hectare,7.0,Tonnes,0.583,Tonnes/Hectare,Adilabad
284697,2014-2015,Telangana,36,Adilabad,501,Castor Seed,1002.0,Oilseeds,Kharif,91.0,Hectare,53.0,Tonnes,0.582,Tonnes/Hectare,Adilabad
284698,2014-2015,Telangana,36,Adilabad,501,Castor Seed,1002.0,Oilseeds,Rabi,3.0,Hectare,2.0,Tonnes,0.667,Tonnes/Hectare,Adilabad
284699,2014-2015,Telangana,36,Adilabad,501,Castor Seed,1002.0,Oilseeds,Total,94.0,Hectare,55.0,Tonnes,0.585,Tonnes/Hectare,Adilabad
284700,2014-2015,Telangana,36,Adilabad,501,Coriander,509.0,Spices,Whole Year,898.0,Hectare,215.0,Tonnes,0.239,Tonnes/Hectare,Adilabad
284701,2014-2015,Telangana,36,Adilabad,501,Cotton(Lint),1101.0,Fiber Crops,Kharif,304424.0,Hectare,573033.0,Tonnes,1.882,Tonnes/Hectare,Adilabad
284702,2014-2015,Telangana,36,Adilabad,501,Cowpea(Lobia),288.0,Pulses,Kharif,114.0,Hectare,105.0,Tonnes,0.921,Tonnes/Hectare,Adilabad
284703,2014-2015,Telangana,36,Adilabad,501,Cowpea(Lobia),288.0,Pulses,Rabi,79.0,Hectare,78.0,Tonnes,0.987,Tonnes/Hectare,Adilabad
284704,2014-2015,Telangana,36,Adilabad,501,Cowpea(Lobia),288.0,Pulses,Total,193.0,Hectare,183.0,Tonnes,0.948,Tonnes/Hectare,Adilabad
284705,2014-2015,Telangana,36,Adilabad,501,Dry Chillies,502.0,Spices,Kharif,1784.0,Hectare,1839.0,Tonnes,1.031,Tonnes/Hectare,Adilabad
284706,2014-2015,Telangana,36,Adilabad,501,Dry Chillies,502.0,Spices,Rabi,98.0,Hectare,402.0,Tonnes,4.102,Tonnes/Hectare,Adilabad
284707,2014-2015,Telangana,36,Adilabad,501,Dry Chillies,502.0,Spices,Total,1882.0,Hectare,2241.0,Tonnes,1.191,Tonnes/Hectare,Adilabad
284708,2014-2015,Telangana,36,Adilabad,501,Ginger,503.0,Spices,Kharif,1.0,Hectare,8.0,Tonnes,8.0,Tonnes/Hectare,Adilabad
284709,2014-2015,Telangana,36,Adilabad,501,Gram,201.0,Pulses,Rabi,12611.0,Hectare,15070.0,Tonnes,1.195,Tonnes/Hectare,Adilabad
284710,2014-2015,Telangana,36,Adilabad,501,Groundnut,1001.0,Oilseeds,Rabi,981.0,Hectare,1877.0,Tonnes,1.913,Tonnes/Hectare,Adilabad
284711,2014-2015,Telangana,36,Adilabad,501,Horse-Gram,206.0,Pulses,Rabi,65.0,Hectare,25.0,Tonnes,0.385,Tonnes/Hectare,Adilabad
284712,2014-2015,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Kharif,10338.0,Hectare,10276.0,Tonnes,0.994,Tonnes/Hectare,Adilabad
284713,2014-2015,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Rabi,9787.0,Hectare,7448.0,Tonnes,0.761,Tonnes/Hectare,Adilabad
284714,2014-2015,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Total,20125.0,Hectare,17724.0,Tonnes,0.881,Tonnes/Hectare,Adilabad
284715,2014-2015,Telangana,36,Adilabad,501,Maize,104.0,Cereals,Kharif,9764.0,Hectare,25601.0,Tonnes,2.622,Tonnes/Hectare,Adilabad
284716,2014-2015,Telangana,36,Adilabad,501,Maize,104.0,Cereals,Rabi,13614.0,Hectare,43156.0,Tonnes,3.17,Tonnes/Hectare,Adilabad
284717,2014-2015,Telangana,36,Adilabad,501,Maize,104.0,Cereals,Total,23378.0,Hectare,68757.0,Tonnes,2.941,Tonnes/Hectare,Adilabad
