id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name
379040,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,1479.0,Adilabad
379041,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Adilabad
379042,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,0.0,Adilabad
379043,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,3345.0,Adilabad
379044,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Adilabad
379045,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,19840.0,Adilabad
379046,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Adilabad
379047,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Adilabad
379048,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Adilabad
379049,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,8.0,Adilabad
379050,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Autumn,33165.0,Adilabad
379051,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Kharif,,Adilabad
379052,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Summer,13996.0,Adilabad
379053,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Winter,,Adilabad
379054,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Wheat,106.0,,2952.0,Adilabad
379055,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Other Food Crops,Other Food Crops,Other Food Crops,801.0,,,Adilabad
379056,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,,105.0,Adilabad
379057,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,,2019.0,Adilabad
379058,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Kharif,0.0,Adilabad
379059,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Rabi,219.0,Adilabad
379060,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Adilabad
379061,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,4.0,Adilabad
379062,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Adilabad
379063,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Adilabad
379064,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Adilabad
379065,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,21.0,Adilabad
379066,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,11921.0,Adilabad
379067,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Adilabad
379068,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Adilabad
379069,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Adilabad
379070,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Sanhemp,1104.0,,,Adilabad
379071,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,,211.0,Adilabad
379072,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Groundnut,1001.0,,981.0,Adilabad
379073,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,,,Adilabad
379074,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Other Oilseeds,1088.0,,26.0,Adilabad
379075,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Rapeseed and Mustard,1004.0,,696.0,Adilabad
379076,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Sesamum,1003.0,,3798.0,Adilabad
379077,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Soyabean,1009.0,,565.0,Adilabad
379078,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Sunflower,1007.0,,470.0,Adilabad
379079,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Other Non Food Crops,Other Non Food Crops,Other Non Food Crops,1888.0,,26.0,Adilabad
379120,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,1503.0,Karimnagar
379121,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Karimnagar
379122,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,0.0,Karimnagar
379123,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,49.0,Karimnagar
379124,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Karimnagar
379125,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,86512.0,Karimnagar
379126,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Karimnagar
379127,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Karimnagar
379128,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Karimnagar
379129,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,0.0,Karimnagar
379130,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Autumn,179035.0,Karimnagar
379131,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Kharif,,Karimnagar
379132,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Summer,99151.0,Karimnagar
379133,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Winter,,Karimnagar
379134,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Wheat,106.0,,0.0,Karimnagar
379135,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Other Food Crops,Other Food Crops,Other Food Crops,801.0,,,Karimnagar
379136,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,,243.0,Karimnagar
379137,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Gram,201.0,,691.0,Karimnagar
379138,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Kharif,138.0,Karimnagar
379139,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Rabi,8784.0,Karimnagar
379140,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Karimnagar
379141,2014-2015,Telangana,36,Karimnagar,508.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,2793.0,Karimnagar
379142,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Karimnagar
379143,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Karimnagar
379144,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Karimnagar
379145,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,8.0,Karimnagar
379146,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,63481.0,Karimnagar
379147,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Karimnagar
379148,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Karimnagar
379149,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Karimnagar
379150,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Sanhemp,1104.0,,,Karimnagar
379151,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,,0.0,Karimnagar
379152,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Groundnut,1001.0,,6962.0,Karimnagar
379153,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,,,Karimnagar
379154,2014-2015,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Other Oilseeds,1088.0,,0.0,Karimnagar
