id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name,year_start,previous_year_area,historical_avg_area,area_change
379056,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,Kharif,105.0,Adilabad,2014,,,
403096,2015-2016,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,Kharif,1302.0,Adilabad,2015,105.0,105.0,1197.0
427136,2016-2017,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,Kharif,1.0,Adilabad,2016,1302.0,703.5,-1301.0
452136,2017-2018,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,Kharif,1.0,Adilabad,2017,1.0,469.3333333333333,0.0
477336,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,Kharif,2141.0,Adilabad,2018,1.0,352.25,2140.0
502776,2019-2020,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,Kharif,3316.0,Adilabad,2019,2141.0,710.0,1175.0
528656,2020-2021,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,Kharif,2783.0,Adilabad,2020,3316.0,1144.3333333333333,-533.0
547296,2021-2022,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,Kharif,3240.0,Adilabad,2021,2783.0,1378.4285714285713,457.0
569176,2022-2023,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,Kharif,4650.0,Adilabad,2022,3240.0,1611.125,1410.0
379040,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,Kharif,1479.0,Adilabad,2014,,,
403080,2015-2016,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,Kharif,1644.0,Adilabad,2015,1479.0,1479.0,165.0
427120,2016-2017,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,Kharif,1644.0,Adilabad,2016,1644.0,1561.5,0.0
452120,2017-2018,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,Kharif,1644.0,Adilabad,2017,1644.0,1589.0,0.0
477320,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,Kharif,1644.0,Adilabad,2018,1644.0,1602.75,0.0
502760,2019-2020,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,Kharif,8.0,Adilabad,2019,1644.0,1611.0,-1636.0
528640,2020-2021,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,Kharif,12.0,Adilabad,2020,8.0,1343.8333333333333,4.0
547280,2021-2022,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,Kharif,2.0,Adilabad,2021,12.0,1153.5714285714287,-10.0
569160,2022-2023,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,Kharif,2.0,Adilabad,2022,2.0,1009.625,0.0
379041,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,Rabi,11921.0,Adilabad,2014,,,
403081,2015-2016,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,Rabi,11921.0,Adilabad,2015,11921.0,11921.0,0.0
427121,2016-2017,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,Rabi,11921.0,Adilabad,2016,11921.0,11921.0,0.0
452121,2017-2018,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,Rabi,11921.0,Adilabad,2017,11921.0,11921.0,0.0
477321,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,Rabi,11921.0,Adilabad,2018,11921.0,11921.0,0.0
502761,2019-2020,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,Rabi,11921.0,Adilabad,2019,11921.0,11921.0,0.0
528641,2020-2021,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,Rabi,11921.0,Adilabad,2020,11921.0,11921.0,0.0
547281,2021-2022,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,Rabi,11921.0,Adilabad,2021,11921.0,11921.0,0.0
569161,2022-2023,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,Rabi,11921.0,Adilabad,2022,11921.0,11921.0,0.0
379062,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,Kharif,11921.0,Adilabad,2014,,,
403102,2015-2016,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,Kharif,11921.0,Adilabad,2015,11921.0,11921.0,0.0
427142,2016-2017,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,Kharif,11921.0,Adilabad,2016,11921.0,11921.0,0.0
452142,2017-2018,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,Kharif,11921.0,Adilabad,2017,11921.0,11921.0,0.0
477342,2018-2019,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,Kharif,11921.0,Adilabad,2018,11921.0,11921.0,0.0
502782,2019-2020,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,Kharif,11921.0,Adilabad,2019,11921.0,11921.0,0.0
528662,2020-2021,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,Kharif,11921.0,Adilabad,2020,11921.0,11921.0,0.0
547302,2021-2022,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,Kharif,11921.0,Adilabad,2021,11921.0,11921.0,0.0
569182,2022-2023,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,Kharif,11921.0,Adilabad,2022,11921.0,11921.0,0.0
379066,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,Kharif,11921.0,Adilabad,2014,,,
403106,2015-2016,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,Kharif,12896.0,Adilabad,2015,11921.0,11921.0,975.0
427146,2016-2017,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,Kharif,47222.0,Adilabad,2016,12896.0,12408.5,34326.0
452146,2017-2018,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,Kharif,66473.0,Adilabad,2017,47222.0,24013.0,19251.0
477346,2018-2019,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,Kharif,20975.0,Adilabad,2018,66473.0,34628.0,-45498.0
502786,2019-2020,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,Kharif,23829.0,Adilabad,2019,20975.0,31897.4,2854.0
528666,2020-2021,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,Kharif,19269.0,Adilabad,2020,23829.0,30552.666666666668,-4560.0
547306,2021-2022,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,Kharif,17318.0,Adilabad,2021,19269.0,28940.714285714286,-1951.0
569186,2022-2023,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,Kharif,20358.0,Adilabad,2022,17318.0,27487.875,3040.0
379071,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,Kharif,211.0,Adilabad,2014,,,
403111,2015-2016,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,Kharif,211.0,Adilabad,2015,211.0,211.0,0.0
427151,2016-2017,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,Kharif,37.0,Adilabad,2016,211.0,211.0,-174.0
452151,2017-2018,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,Kharif,52.0,Adilabad,2017,37.0,153.0,15.0
477351,2018-2019,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,Kharif,75.0,Adilabad,2018,52.0,127.75,23.0
502791,2019-2020,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,Kharif,113.0,Adilabad,2019,75.0,117.2,38.0
528671,2020-2021,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,Kharif,51.0,Adilabad,2020,113.0,116.5,-62.0
547311,2021-2022,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,Kharif,250.0,Adilabad,2021,51.0,107.14285714285714,199.0
569191,2022-2023,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,Kharif,153.0,Adilabad,2022,250.0,125.0,-97.0
379057,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,Rabi,2019.0,Adilabad,2014,,,
403097,2015-2016,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,Rabi,7303.0,Adilabad,2015,2019.0,2019.0,5284.0
427137,2016-2017,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,Rabi,10621.0,Adilabad,2016,7303.0,4661.0,3318.0
452137,2017-2018,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,Rabi,15702.0,Adilabad,2017,10621.0,6647.666666666667,5081.0
477337,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,Rabi,25311.0,Adilabad,2018,15702.0,8911.25,9609.0
502777,2019-2020,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,Rabi,34396.0,Adilabad,2019,25311.0,12191.2,9085.0
528657,2020-2021,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,Rabi,30994.0,Adilabad,2020,34396.0,15892.0,-3402.0
547297,2021-2022,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,Rabi,36346.0,Adilabad,2021,30994.0,18049.428571428572,5352.0
