id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
113712,2014-2015,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Government,4987.0,Adilabad
113713,2014-2015,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Private,,Adilabad
113714,2014-2015,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Other Source,Other Source,2615.0,Adilabad
113715,2014-2015,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Tank,Tank,8673.0,Adilabad
113716,2014-2015,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Other Well,17632.0,Adilabad
113717,2014-2015,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Tubewell,77584.0,Adilabad
113718,2014-2015,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Government,4920.0,Adilabad
113719,2014-2015,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Private,,Adilabad
113720,2014-2015,Telangana,36,Adilabad,501.0,Net Irrigated Area,Other Source,Other Source,1937.0,Adilabad
113721,2014-2015,Telangana,36,Adilabad,501.0,Net Irrigated Area,Tank,Tank,8331.0,Adilabad
113722,2014-2015,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Other Well,15447.0,Adilabad
113723,2014-2015,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Tubewell,50776.0,Adilabad
113736,2014-2015,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Government,1111.0,Karimnagar
113737,2014-2015,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Private,,Karimnagar
113738,2014-2015,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Other Source,Other Source,496.0,Karimnagar
113739,2014-2015,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Tank,Tank,19810.0,Karimnagar
113740,2014-2015,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Other Well,401671.0,Karimnagar
113741,2014-2015,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Tubewell,78352.0,Karimnagar
113742,2014-2015,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Government,810.0,Karimnagar
113743,2014-2015,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Private,,Karimnagar
113744,2014-2015,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Other Source,Other Source,59.0,Karimnagar
113745,2014-2015,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Tank,Tank,18451.0,Karimnagar
113746,2014-2015,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Other Well,244984.0,Karimnagar
113747,2014-2015,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Tubewell,51354.0,Karimnagar
113748,2014-2015,Telangana,36,Khammam,509.0,Gross Irrigated Area,Canal,Government,64629.0,Khammam
113749,2014-2015,Telangana,36,Khammam,509.0,Gross Irrigated Area,Canal,Private,,Khammam
113750,2014-2015,Telangana,36,Khammam,509.0,Gross Irrigated Area,Other Source,Other Source,9841.0,Khammam
113751,2014-2015,Telangana,36,Khammam,509.0,Gross Irrigated Area,Tank,Tank,37208.0,Khammam
113752,2014-2015,Telangana,36,Khammam,509.0,Gross Irrigated Area,Well,Other Well,44331.0,Khammam
113753,2014-2015,Telangana,36,Khammam,509.0,Gross Irrigated Area,Well,Tubewell,62777.0,Khammam
113754,2014-2015,Telangana,36,Khammam,509.0,Net Irrigated Area,Canal,Government,51127.0,Khammam
113755,2014-2015,Telangana,36,Khammam,509.0,Net Irrigated Area,Canal,Private,,Khammam
113756,2014-2015,Telangana,36,Khammam,509.0,Net Irrigated Area,Other Source,Other Source,8127.0,Khammam
113757,2014-2015,Telangana,36,Khammam,509.0,Net Irrigated Area,Tank,Tank,33383.0,Khammam
113758,2014-2015,Telangana,36,Khammam,509.0,Net Irrigated Area,Well,Other Well,36493.0,Khammam
113759,2014-2015,Telangana,36,Khammam,509.0,Net Irrigated Area,Well,Tubewell,48575.0,Khammam
113760,2014-2015,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Canal,Government,36294.0,Mahabubnagar
113761,2014-2015,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Canal,Private,,Mahabubnagar
113762,2014-2015,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Other Source,Other Source,15991.0,Mahabubnagar
113763,2014-2015,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Tank,Tank,3751.0,Mahabubnagar
113764,2014-2015,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Well,Other Well,5332.0,Mahabubnagar
113765,2014-2015,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Well,Tubewell,270391.0,Mahabubnagar
113766,2014-2015,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Canal,Government,29579.0,Mahabubnagar
113767,2014-2015,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Canal,Private,,Mahabubnagar
113768,2014-2015,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Other Source,Other Source,12951.0,Mahabubnagar
113769,2014-2015,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Tank,Tank,3727.0,Mahabubnagar
113770,2014-2015,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Well,Other Well,4472.0,Mahabubnagar
113771,2014-2015,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Well,Tubewell,197940.0,Mahabubnagar
113772,2014-2015,Telangana,36,Medak,513.0,Gross Irrigated Area,Canal,Government,1371.0,Medak
