id,date,state_code,state_name,district_code,district_name,actual,rfs,normal,deviation,agri_year,month,rainfall_status,rainfall_difference,cumulative_actual_rainfall,cumulative_normal_rainfall,cumulative_rainfall_difference
2931633,2014-06-01,36,Telangana,501,Adilabad,0.0,0.0,1.5,-100.0,2014-2015,6,Below Normal,-1.5,0.0,1.5,-1.5
2931643,2014-06-02,36,Telangana,501,Adilabad,0.36,0.1997124255,1.8,-80.0,2014-2015,6,Below Normal,-1.44,0.36,3.3,-2.94
2931653,2014-06-03,36,Telangana,501,Adilabad,5.68,3.1122679951,1.8,215.55555555555554,2014-2015,6,Above Normal,3.88,6.04,5.1,0.9400000000000004
2931663,2014-06-04,36,Telangana,501,Adilabad,0.0,0.0,3.4,-100.0,2014-2015,6,Below Normal,-3.4,6.04,8.5,-2.46
2931673,2014-06-05,36,Telangana,501,Adilabad,1.23,0.6748231894,4.5,-72.66666666666667,2014-2015,6,Below Normal,-3.27,7.27,13.0,-5.73
2931683,2014-06-06,36,Telangana,501,Adilabad,0.0,0.0,4.1,-100.0,2014-2015,6,Below Normal,-4.1,7.27,17.1,-9.830000000000002
2931693,2014-06-07,36,Telangana,501,Adilabad,0.08,0.0438216658,2.0,-96.0,2014-2015,6,Below Normal,-1.92,7.35,19.1,-11.750000000000002
2931703,2014-06-08,36,Telangana,501,Adilabad,0.0,8.396e-06,1.7,-100.0,2014-2015,6,Below Normal,-1.7,7.35,20.8,-13.450000000000001
2931713,2014-06-09,36,Telangana,501,Adilabad,0.0,0.0005161234,2.8,-100.0,2014-2015,6,Below Normal,-2.8,7.35,23.6,-16.25
2931723,2014-06-10,36,Telangana,501,Adilabad,0.0,0.0,3.1,-100.0,2014-2015,6,Below Normal,-3.1,7.35,26.7,-19.35
2931733,2014-06-11,36,Telangana,501,Adilabad,9.4,5.1537338702,3.4,176.47058823529412,2014-2015,6,Above Normal,6.0,16.75,30.1,-13.350000000000001
2931743,2014-06-12,36,Telangana,501,Adilabad,10.88,5.9674870636,3.6,202.22222222222226,2014-2015,6,Above Normal,7.280000000000001,27.630000000000003,33.7,-6.07
2931753,2014-06-13,36,Telangana,501,Adilabad,0.0,0.0,3.6,-100.0,2014-2015,6,Below Normal,-3.6,27.630000000000003,37.3,-9.669999999999995
2931763,2014-06-14,36,Telangana,501,Adilabad,6.49,3.5606355391,2.9,123.79310344827587,2014-2015,6,Above Normal,3.5900000000000003,34.120000000000005,40.2,-6.079999999999998
2931773,2014-06-15,36,Telangana,501,Adilabad,7.43,4.0714397931,4.0,85.75,2014-2015,6,Above Normal,3.4299999999999997,41.55,44.2,-2.6500000000000057
2931783,2014-06-16,36,Telangana,501,Adilabad,0.65,0.3550055749,5.3,-87.73584905660377,2014-2015,6,Below Normal,-4.6499999999999995,42.2,49.5,-7.299999999999997
2931793,2014-06-17,36,Telangana,501,Adilabad,0.34,0.1889032559,7.5,-95.46666666666667,2014-2015,6,Below Normal,-7.16,42.54,57.0,-14.46
2931803,2014-06-18,36,Telangana,501,Adilabad,41.45,22.7288649428,9.5,336.3157894736843,2014-2015,6,Above Normal,31.950000000000003,83.99000000000001,66.5,17.49000000000001
2931813,2014-06-19,36,Telangana,501,Adilabad,1.26,0.6883379434,7.2,-82.5,2014-2015,6,Below Normal,-5.94,85.25,73.7,11.549999999999997
2931823,2014-06-20,36,Telangana,501,Adilabad,3.39,1.8607680041,7.2,-52.916666666666664,2014-2015,6,Below Normal,-3.81,88.64,80.9,7.739999999999995
2931833,2014-06-21,36,Telangana,501,Adilabad,0.04,0.0201440472,8.1,-99.50617283950618,2014-2015,6,Below Normal,-8.06,88.68,89.0,-0.3199999999999932
2931843,2014-06-22,36,Telangana,501,Adilabad,0.0,0.0,8.7,-100.0,2014-2015,6,Below Normal,-8.7,88.68,97.7,-9.019999999999996
2931853,2014-06-23,36,Telangana,501,Adilabad,0.18,0.0981235908,6.7,-97.3134328358209,2014-2015,6,Below Normal,-6.5200000000000005,88.86,104.4,-15.540000000000006
2931863,2014-06-24,36,Telangana,501,Adilabad,0.0,0.0,7.5,-100.0,2014-2015,6,Below Normal,-7.5,88.86,111.9,-23.040000000000006
2931873,2014-06-25,36,Telangana,501,Adilabad,0.0,0.0,10.4,-100.0,2014-2015,6,Below Normal,-10.4,88.86,122.3,-33.44
2931883,2014-06-26,36,Telangana,501,Adilabad,0.2,0.1114944801,12.7,-98.4251968503937,2014-2015,6,Below Normal,-12.5,89.06,135.0,-45.94
2931893,2014-06-27,36,Telangana,501,Adilabad,1.6,0.8782332253,11.0,-85.45454545454547,2014-2015,6,Below Normal,-9.4,90.66,146.0,-55.34
2931903,2014-06-28,36,Telangana,501,Adilabad,1.04,0.5685476482,10.9,-90.45871559633026,2014-2015,6,Below Normal,-9.86,91.7,156.9,-65.2
2931913,2014-06-29,36,Telangana,501,Adilabad,0.0,0.0,6.8,-100.0,2014-2015,6,Below Normal,-6.8,91.7,163.7,-71.99999999999999
2931923,2014-06-30,36,Telangana,501,Adilabad,0.12,0.0682407282,7.4,-98.37837837837837,2014-2015,6,Below Normal,-7.28,91.82000000000001,171.1,-79.27999999999999
2931323,2014-07-01,36,Telangana,501,Adilabad,0.0,0.0,8.3,-100.0,2014-2015,7,Below Normal,-8.3,91.82000000000001,179.4,-87.58
2931333,2014-07-02,36,Telangana,501,Adilabad,0.0,0.0,9.6,-100.0,2014-2015,7,Below Normal,-9.6,91.82000000000001,189.0,-97.17999999999999
2931343,2014-07-03,36,Telangana,501,Adilabad,0.11,0.0613509601,7.2,-98.47222222222221,2014-2015,7,Below Normal,-7.09,91.93,196.2,-104.26999999999998
2931353,2014-07-04,36,Telangana,501,Adilabad,2.18,1.1953763936,9.1,-76.04395604395606,2014-2015,7,Below Normal,-6.92,94.11,205.3,-111.19000000000001
2931363,2014-07-05,36,Telangana,501,Adilabad,1.72,0.9446592733,11.9,-85.54621848739495,2014-2015,7,Below Normal,-10.18,95.83,217.2,-121.36999999999999
2931373,2014-07-06,36,Telangana,501,Adilabad,7.27,3.9888230754,10.0,-27.3,2014-2015,7,Below Normal,-2.7300000000000004,103.10000000000001,227.2,-124.09999999999998
2931383,2014-07-07,36,Telangana,501,Adilabad,0.21,0.1147670602,7.1,-97.04225352112677,2014-2015,7,Below Normal,-6.89,103.31,234.3,-130.99
2931393,2014-07-08,36,Telangana,501,Adilabad,6.09,3.3367098205,7.2,-15.41666666666667,2014-2015,7,Below Normal,-1.1100000000000003,109.4,241.5,-132.1
2931403,2014-07-09,36,Telangana,501,Adilabad,30.05,16.4746550736,9.3,223.11827956989245,2014-2015,7,Above Normal,20.75,139.45,250.8,-111.35000000000002
2931413,2014-07-10,36,Telangana,501,Adilabad,0.3,0.163761505,9.3,-96.77419354838709,2014-2015,7,Below Normal,-9.0,139.75,260.1,-120.35000000000002
2931423,2014-07-11,36,Telangana,501,Adilabad,2.49,1.3636839047,9.7,-74.32989690721648,2014-2015,7,Below Normal,-7.209999999999999,142.24,269.8,-127.56
2931433,2014-07-12,36,Telangana,501,Adilabad,3.11,1.7033645736,11.0,-71.72727272727273,2014-2015,7,Below Normal,-7.890000000000001,145.35,280.8,-135.45000000000002
2931443,2014-07-13,36,Telangana,501,Adilabad,2.81,1.5429442156,10.5,-73.23809523809524,2014-2015,7,Below Normal,-7.6899999999999995,148.16,291.3,-143.14000000000001
