id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
7545,1997-1998,Telangana,36,Khammam,509,Urad,203.0,Pulses,Total,7200.0,Hectare,3600.0,Tonnes,0.5,Tonnes/Hectare,Khammam
7441,1997-1998,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Kharif,32200.0,Hectare,1100.0,Tonnes,0.034,Tonnes/Hectare,Adilabad
7442,1997-1998,Telangana,36,Adilabad,501,Castor Seed,1002.0,Oilseeds,Kharif,2600.0,Hectare,700.0,Tonnes,0.269,Tonnes/Hectare,Adilabad
7443,1997-1998,Telangana,36,Adilabad,501,Cotton(Lint),1101.0,Fiber Crops,Kharif,144900.0,Hectare,66500.0,Tonnes,0.459,Tonnes/Hectare,Adilabad
7444,1997-1998,Telangana,36,Adilabad,501,Dry Chillies,502.0,Spices,Kharif,5500.0,Hectare,3100.0,Tonnes,0.564,Tonnes/Hectare,Adilabad
7445,1997-1998,Telangana,36,Adilabad,501,Dry Chillies,502.0,Spices,Rabi,700.0,Hectare,1600.0,Tonnes,2.286,Tonnes/Hectare,Adilabad
7446,1997-1998,Telangana,36,Adilabad,501,Dry Chillies,502.0,Spices,Total,6200.0,Hectare,4700.0,Tonnes,0.758,Tonnes/Hectare,Adilabad
7447,1997-1998,Telangana,36,Adilabad,501,Gram,201.0,Pulses,Rabi,4000.0,Hectare,500.0,Tonnes,0.125,Tonnes/Hectare,Adilabad
7448,1997-1998,Telangana,36,Adilabad,501,Groundnut,1001.0,Oilseeds,Rabi,3700.0,Hectare,3300.0,Tonnes,0.892,Tonnes/Hectare,Adilabad
7449,1997-1998,Telangana,36,Adilabad,501,Horse-Gram,206.0,Pulses,Rabi,3200.0,Hectare,300.0,Tonnes,0.094,Tonnes/Hectare,Adilabad
7450,1997-1998,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Kharif,58200.0,Hectare,31500.0,Tonnes,0.541,Tonnes/Hectare,Adilabad
7451,1997-1998,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Rabi,96100.0,Hectare,33500.0,Tonnes,0.349,Tonnes/Hectare,Adilabad
7452,1997-1998,Telangana,36,Adilabad,501,Jowar,102.0,Cereals,Total,154300.0,Hectare,65000.0,Tonnes,0.421,Tonnes/Hectare,Adilabad
7453,1997-1998,Telangana,36,Adilabad,501,Maize,104.0,Cereals,Kharif,23900.0,Hectare,63000.0,Tonnes,2.636,Tonnes/Hectare,Adilabad
7454,1997-1998,Telangana,36,Adilabad,501,Maize,104.0,Cereals,Rabi,4600.0,Hectare,13700.0,Tonnes,2.978,Tonnes/Hectare,Adilabad
7455,1997-1998,Telangana,36,Adilabad,501,Maize,104.0,Cereals,Total,28500.0,Hectare,76700.0,Tonnes,2.691,Tonnes/Hectare,Adilabad
7456,1997-1998,Telangana,36,Adilabad,501,Moong(Green Gram),204.0,Pulses,Kharif,20600.0,Hectare,3600.0,Tonnes,0.175,Tonnes/Hectare,Adilabad
7457,1997-1998,Telangana,36,Adilabad,501,Moong(Green Gram),204.0,Pulses,Rabi,4800.0,Hectare,600.0,Tonnes,0.125,Tonnes/Hectare,Adilabad
7458,1997-1998,Telangana,36,Adilabad,501,Moong(Green Gram),204.0,Pulses,Total,25400.0,Hectare,4200.0,Tonnes,0.165,Tonnes/Hectare,Adilabad
7459,1997-1998,Telangana,36,Adilabad,501,Other Kharif Pulses,288.0,Pulses,Kharif,1500.0,Hectare,200.0,Tonnes,0.133,Tonnes/Hectare,Adilabad
7460,1997-1998,Telangana,36,Adilabad,501,Other Rabi Pulses,288.0,Pulses,Rabi,2300.0,Hectare,300.0,Tonnes,0.13,Tonnes/Hectare,Adilabad
7461,1997-1998,Telangana,36,Adilabad,501,Rice,101.0,Cereals,Kharif,30600.0,Hectare,29100.0,Tonnes,0.951,Tonnes/Hectare,Adilabad
7462,1997-1998,Telangana,36,Adilabad,501,Rice,101.0,Cereals,Rabi,5200.0,Hectare,12400.0,Tonnes,2.385,Tonnes/Hectare,Adilabad
7463,1997-1998,Telangana,36,Adilabad,501,Rice,101.0,Cereals,Total,35800.0,Hectare,41500.0,Tonnes,1.159,Tonnes/Hectare,Adilabad
7464,1997-1998,Telangana,36,Adilabad,501,Sesamum,1003.0,Oilseeds,Kharif,21700.0,Hectare,1000.0,Tonnes,0.046,Tonnes/Hectare,Adilabad
7465,1997-1998,Telangana,36,Adilabad,501,Sesamum,1003.0,Oilseeds,Rabi,3900.0,Hectare,400.0,Tonnes,0.103,Tonnes/Hectare,Adilabad
7466,1997-1998,Telangana,36,Adilabad,501,Sesamum,1003.0,Oilseeds,Total,25600.0,Hectare,1400.0,Tonnes,0.055,Tonnes/Hectare,Adilabad
7467,1997-1998,Telangana,36,Adilabad,501,Sugarcane,401.0,Sugar,Kharif,200.0,Hectare,15400.0,Tonnes,77.0,Tonnes/Hectare,Adilabad
7468,1997-1998,Telangana,36,Adilabad,501,Sunflower,1007.0,Oilseeds,Kharif,5200.0,Hectare,2300.0,Tonnes,0.442,Tonnes/Hectare,Adilabad
7469,1997-1998,Telangana,36,Adilabad,501,Sunflower,1007.0,Oilseeds,Rabi,1600.0,Hectare,600.0,Tonnes,0.375,Tonnes/Hectare,Adilabad
7470,1997-1998,Telangana,36,Adilabad,501,Sunflower,1007.0,Oilseeds,Total,6800.0,Hectare,2900.0,Tonnes,0.426,Tonnes/Hectare,Adilabad
7471,1997-1998,Telangana,36,Adilabad,501,Urad,203.0,Pulses,Kharif,19500.0,Hectare,6600.0,Tonnes,0.338,Tonnes/Hectare,Adilabad
7472,1997-1998,Telangana,36,Adilabad,501,Urad,203.0,Pulses,Rabi,600.0,Hectare,100.0,Tonnes,0.167,Tonnes/Hectare,Adilabad
7473,1997-1998,Telangana,36,Adilabad,501,Urad,203.0,Pulses,Total,20100.0,Hectare,6700.0,Tonnes,0.333,Tonnes/Hectare,Adilabad
7474,1997-1998,Telangana,36,Adilabad,501,Wheat,106.0,Cereals,Rabi,3600.0,Hectare,2000.0,Tonnes,0.556,Tonnes/Hectare,Adilabad
7475,1997-1998,Telangana,36,Hyderabad,507,Rice,101.0,Cereals,Kharif,100.0,Hectare,100.0,Tonnes,1.0,Tonnes/Hectare,Hyderabad
7476,1997-1998,Telangana,36,Hyderabad,507,Rice,101.0,Cereals,Rabi,100.0,Hectare,100.0,Tonnes,1.0,Tonnes/Hectare,Hyderabad
7477,1997-1998,Telangana,36,Hyderabad,507,Rice,101.0,Cereals,Total,200.0,Hectare,200.0,Tonnes,1.0,Tonnes/Hectare,Hyderabad
7478,1997-1998,Telangana,36,Karimnagar,508,Arhar/Tur,202.0,Pulses,Kharif,3100.0,Hectare,400.0,Tonnes,0.129,Tonnes/Hectare,Karimnagar
7479,1997-1998,Telangana,36,Karimnagar,508,Castor Seed,1002.0,Oilseeds,Kharif,600.0,Hectare,200.0,Tonnes,0.333,Tonnes/Hectare,Karimnagar
7480,1997-1998,Telangana,36,Karimnagar,508,Cotton(Lint),1101.0,Fiber Crops,Kharif,60400.0,Hectare,106300.0,Tonnes,1.76,Tonnes/Hectare,Karimnagar
7481,1997-1998,Telangana,36,Karimnagar,508,Dry Chillies,502.0,Spices,Kharif,11000.0,Hectare,23800.0,Tonnes,2.164,Tonnes/Hectare,Karimnagar
7482,1997-1998,Telangana,36,Karimnagar,508,Dry Chillies,502.0,Spices,Rabi,1100.0,Hectare,2400.0,Tonnes,2.182,Tonnes/Hectare,Karimnagar
7483,1997-1998,Telangana,36,Karimnagar,508,Dry Chillies,502.0,Spices,Total,12100.0,Hectare,26200.0,Tonnes,2.165,Tonnes/Hectare,Karimnagar
7484,1997-1998,Telangana,36,Karimnagar,508,Gram,201.0,Pulses,Rabi,1300.0,Hectare,200.0,Tonnes,0.154,Tonnes/Hectare,Karimnagar
7485,1997-1998,Telangana,36,Karimnagar,508,Groundnut,1001.0,Oilseeds,Kharif,11900.0,Hectare,6700.0,Tonnes,0.563,Tonnes/Hectare,Karimnagar
7486,1997-1998,Telangana,36,Karimnagar,508,Groundnut,1001.0,Oilseeds,Rabi,21200.0,Hectare,22400.0,Tonnes,1.057,Tonnes/Hectare,Karimnagar
7487,1997-1998,Telangana,36,Karimnagar,508,Groundnut,1001.0,Oilseeds,Total,33100.0,Hectare,29100.0,Tonnes,0.879,Tonnes/Hectare,Karimnagar
7488,1997-1998,Telangana,36,Karimnagar,508,Horse-Gram,206.0,Pulses,Rabi,1300.0,Hectare,300.0,Tonnes,0.231,Tonnes/Hectare,Karimnagar
7489,1997-1998,Telangana,36,Karimnagar,508,Jowar,102.0,Cereals,Kharif,400.0,Hectare,200.0,Tonnes,0.5,Tonnes/Hectare,Karimnagar
7490,1997-1998,Telangana,36,Karimnagar,508,Jowar,102.0,Cereals,Rabi,6200.0,Hectare,5200.0,Tonnes,0.839,Tonnes/Hectare,Karimnagar
7491,1997-1998,Telangana,36,Karimnagar,508,Jowar,102.0,Cereals,Total,6600.0,Hectare,5400.0,Tonnes,0.818,Tonnes/Hectare,Karimnagar
7492,1997-1998,Telangana,36,Karimnagar,508,Maize,104.0,Cereals,Kharif,62500.0,Hectare,189600.0,Tonnes,3.034,Tonnes/Hectare,Karimnagar
7493,1997-1998,Telangana,36,Karimnagar,508,Maize,104.0,Cereals,Rabi,30900.0,Hectare,100300.0,Tonnes,3.246,Tonnes/Hectare,Karimnagar
7494,1997-1998,Telangana,36,Karimnagar,508,Maize,104.0,Cereals,Total,93400.0,Hectare,289900.0,Tonnes,3.104,Tonnes/Hectare,Karimnagar
7495,1997-1998,Telangana,36,Karimnagar,508,Moong(Green Gram),204.0,Pulses,Kharif,44200.0,Hectare,7900.0,Tonnes,0.179,Tonnes/Hectare,Karimnagar
