id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name
17898,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Kharif,,Khammam
17897,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Pulses,Pulses,Gram,201.0,,,Khammam
17800,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,317.0,Adilabad
17801,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Adilabad
17802,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,,Adilabad
17803,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,22.0,Adilabad
17804,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Adilabad
17805,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,12367.0,Adilabad
17806,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Adilabad
17807,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Adilabad
17808,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Adilabad
17809,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,,Adilabad
17810,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Autumn,48128.0,Adilabad
17811,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Kharif,,Adilabad
17812,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Summer,12152.0,Adilabad
17813,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Winter,,Adilabad
17814,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Wheat,106.0,,1803.0,Adilabad
17815,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Other Food Crops,Other Food Crops,Other Food Crops,801.0,,2165.0,Adilabad
17816,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,,,Adilabad
17817,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Gram,201.0,,,Adilabad
17818,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Kharif,,Adilabad
17819,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Rabi,26.0,Adilabad
17820,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Adilabad
17821,1998-1999,Telangana,36,Adilabad,501.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,387.0,Adilabad
17822,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Adilabad
17823,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Adilabad
17824,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Adilabad
17825,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,,Adilabad
17826,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,1161.0,Adilabad
17827,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Adilabad
17828,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Adilabad
17829,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Adilabad
17830,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Sanhemp,1104.0,,,Adilabad
17831,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,,,Adilabad
17832,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Groundnut,1001.0,,5112.0,Adilabad
17833,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,,,Adilabad
17834,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Other Oilseeds,1088.0,,1095.0,Adilabad
17835,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Rapeseed and Mustard,1004.0,,,Adilabad
17836,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Sesamum,1003.0,,2488.0,Adilabad
17837,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Soyabean,1009.0,,,Adilabad
17838,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Sunflower,1007.0,,,Adilabad
17839,1998-1999,Telangana,36,Adilabad,501.0,Non Food Crop,Other Non Food Crops,Other Non Food Crops,Other Non Food Crops,1888.0,,18.0,Adilabad
