id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
5340,1998-1999,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Government,23762.0,Adilabad
5341,1998-1999,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Private,,Adilabad
5342,1998-1999,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Other Source,Other Source,2942.0,Adilabad
5343,1998-1999,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Tank,Tank,22102.0,Adilabad
5344,1998-1999,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Other Well,23227.0,Adilabad
5345,1998-1999,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Tubewell,24012.0,Adilabad
5346,1998-1999,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Government,19418.0,Adilabad
5347,1998-1999,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Private,,Adilabad
5348,1998-1999,Telangana,36,Adilabad,501.0,Net Irrigated Area,Other Source,Other Source,2676.0,Adilabad
5349,1998-1999,Telangana,36,Adilabad,501.0,Net Irrigated Area,Tank,Tank,20424.0,Adilabad
5350,1998-1999,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Other Well,20436.0,Adilabad
5351,1998-1999,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Tubewell,15574.0,Adilabad
5352,1998-1999,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Government,89713.0,Karimnagar
5353,1998-1999,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Private,,Karimnagar
5354,1998-1999,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Other Source,Other Source,5829.0,Karimnagar
5355,1998-1999,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Tank,Tank,54850.0,Karimnagar
5356,1998-1999,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Other Well,245270.0,Karimnagar
5357,1998-1999,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Tubewell,5509.0,Karimnagar
5358,1998-1999,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Government,52956.0,Karimnagar
5359,1998-1999,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Private,,Karimnagar
5360,1998-1999,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Other Source,Other Source,4534.0,Karimnagar
5361,1998-1999,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Tank,Tank,36217.0,Karimnagar
5362,1998-1999,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Other Well,168804.0,Karimnagar
5363,1998-1999,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Tubewell,4445.0,Karimnagar
5364,1998-1999,Telangana,36,Khammam,509.0,Gross Irrigated Area,Canal,Government,77024.0,Khammam
5365,1998-1999,Telangana,36,Khammam,509.0,Gross Irrigated Area,Canal,Private,,Khammam
5366,1998-1999,Telangana,36,Khammam,509.0,Gross Irrigated Area,Other Source,Other Source,27525.0,Khammam
5367,1998-1999,Telangana,36,Khammam,509.0,Gross Irrigated Area,Tank,Tank,60157.0,Khammam
5368,1998-1999,Telangana,36,Khammam,509.0,Gross Irrigated Area,Well,Other Well,37067.0,Khammam
5369,1998-1999,Telangana,36,Khammam,509.0,Gross Irrigated Area,Well,Tubewell,21482.0,Khammam
5370,1998-1999,Telangana,36,Khammam,509.0,Net Irrigated Area,Canal,Government,63651.0,Khammam
5371,1998-1999,Telangana,36,Khammam,509.0,Net Irrigated Area,Canal,Private,,Khammam
5372,1998-1999,Telangana,36,Khammam,509.0,Net Irrigated Area,Other Source,Other Source,25288.0,Khammam
5373,1998-1999,Telangana,36,Khammam,509.0,Net Irrigated Area,Tank,Tank,55289.0,Khammam
5374,1998-1999,Telangana,36,Khammam,509.0,Net Irrigated Area,Well,Other Well,33787.0,Khammam
5375,1998-1999,Telangana,36,Khammam,509.0,Net Irrigated Area,Well,Tubewell,18772.0,Khammam
5376,1998-1999,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Canal,Government,17356.0,Mahabubnagar
5377,1998-1999,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Canal,Private,,Mahabubnagar
5378,1998-1999,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Other Source,Other Source,9261.0,Mahabubnagar
5379,1998-1999,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Tank,Tank,24797.0,Mahabubnagar
5380,1998-1999,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Well,Other Well,65247.0,Mahabubnagar
5381,1998-1999,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Well,Tubewell,109705.0,Mahabubnagar
5382,1998-1999,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Canal,Government,13742.0,Mahabubnagar
5383,1998-1999,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Canal,Private,,Mahabubnagar
5384,1998-1999,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Other Source,Other Source,6390.0,Mahabubnagar
5385,1998-1999,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Tank,Tank,22610.0,Mahabubnagar
5386,1998-1999,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Well,Other Well,51865.0,Mahabubnagar
5387,1998-1999,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Well,Tubewell,82940.0,Mahabubnagar
5388,1998-1999,Telangana,36,Medak,513.0,Gross Irrigated Area,Canal,Government,2961.0,Medak
5389,1998-1999,Telangana,36,Medak,513.0,Gross Irrigated Area,Canal,Private,,Medak
5390,1998-1999,Telangana,36,Medak,513.0,Gross Irrigated Area,Other Source,Other Source,1486.0,Medak
