id,year,state_name,state_code,district_name,district_code,block_name,block_code,village_name,village_code,nutrient_type,nutrient_name,nutrient_level,value,old_district_name
9919438,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Electrical Conductivity,Non Saline,4,Adilabad
9919439,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Electrical Conductivity,Saline,0,Adilabad
9919440,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Nitrogen,High,0,Adilabad
9919441,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Nitrogen,Low,1,Adilabad
9919442,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Nitrogen,Medium,3,Adilabad
9919443,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Organic Carbon,High,1,Adilabad
9919444,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Organic Carbon,Low,1,Adilabad
9919445,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Organic Carbon,Medium,2,Adilabad
9919446,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Phosphorus,High,4,Adilabad
9919447,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Phosphorus,Low,0,Adilabad
9919448,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Phosphorus,Medium,0,Adilabad
9919449,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Potassium,High,0,Adilabad
9919450,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Potassium,Low,2,Adilabad
9919451,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Potassium,Medium,2,Adilabad
9919452,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Soil Ph,Acidic,0,Adilabad
9919453,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Soil Ph,Alkaline,0,Adilabad
9919454,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Macro,Soil Ph,Neutral,4,Adilabad
9919455,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Boron,Deficient,0,Adilabad
9919456,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Boron,Sufficient,4,Adilabad
9919457,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Copper,Deficient,0,Adilabad
9919458,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Copper,Sufficient,0,Adilabad
9919459,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Iron,Deficient,0,Adilabad
9919460,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Iron,Sufficient,0,Adilabad
9919461,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Manganese,Deficient,0,Adilabad
9919462,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Manganese,Sufficient,0,Adilabad
9919463,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Sulphur,Deficient,0,Adilabad
9919464,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Sulphur,Sufficient,4,Adilabad
9919465,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Zinc,Deficient,0,Adilabad
9919466,2024-25,Telangana,36,Adilabad,501,Adilabad Rural,7142,Ankapur,569005,Micro,Zinc,Sufficient,0,Adilabad
9919467,2024-25,Telangana,36,Adilabad,501,Narnoor,4670,Babjhari,569235,Macro,Electrical Conductivity,Non Saline,325,Adilabad
